dataset,vectorizer,reduction,sample,test_size,accuracy,precision,recall,f1,vocabulary_size,train_rows,test_rows,duration_seconds,model_path,report_path
amazon,bow,lemma,5000,0.2,0.911,0.9399293286219081,0.9545454545454546,0.9471810089020771,32586,4000,1000,3.885564088821411,models\representations\amazon_bow_lemma.joblib,models\representations\amazon_bow_lemma_report.txt
amazon,tfidf,lemma,5000,0.2,0.899,0.950920245398773,0.9270334928229665,0.9388249545729861,32586,4000,1000,1.7928979396820068,models\representations\amazon_tfidf_lemma.joblib,models\representations\amazon_tfidf_lemma_report.txt
amazon,bm25,lemma,5000,0.2,0.927,0.936,0.9796650717703349,0.9573348918760959,32586,4000,1000,2.0010831356048584,models\representations\amazon_bm25_lemma.joblib,models\representations\amazon_bm25_lemma_report.txt
amazon,embedding,lemma,5000,0.2,0.807,0.9521800281293952,0.8098086124401914,0.8752424046541694,6776,4000,1000,3.82735538482666,models\representations\amazon_embedding_lemma.joblib,models\representations\amazon_embedding_lemma_report.txt
sentiment140,bow,lemma,5000,0.2,0.719,0.7168316831683168,0.724,0.7203980099502487,5973,4000,1000,0.869032621383667,models\representations\sentiment140_bow_lemma.joblib,models\representations\sentiment140_bow_lemma_report.txt
sentiment140,tfidf,lemma,5000,0.2,0.738,0.7510548523206751,0.712,0.731006160164271,5973,4000,1000,0.8809561729431152,models\representations\sentiment140_tfidf_lemma.joblib,models\representations\sentiment140_tfidf_lemma_report.txt
sentiment140,bm25,lemma,5000,0.2,0.674,0.669921875,0.686,0.6778656126482213,5973,4000,1000,0.9636938571929932,models\representations\sentiment140_bm25_lemma.joblib,models\representations\sentiment140_bm25_lemma_report.txt
sentiment140,embedding,lemma,5000,0.2,0.695,0.7181208053691275,0.642,0.6779303062302007,2723,4000,1000,1.3763165473937988,models\representations\sentiment140_embedding_lemma.joblib,models\representations\sentiment140_embedding_lemma_report.txt
